GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bowling,ru.kurtov.bowling,Player,17,322,2,34,4,73,2,25,1,8
bowling,ru.kurtov.bowling,TenthFrame,0,124,0,22,0,15,0,16,0,5
bowling,ru.kurtov.bowling,Frame,7,340,2,60,1,64,2,50,1,20
bowling,ru.kurtov.bowling,Game,0,168,0,16,0,38,0,15,0,7
bowling,ru.kurtov.bowling.exceptions,AddPlayerInStartedGameException,0,4,0,0,0,2,0,1,0,1
bowling,ru.kurtov.bowling.exceptions,ExceedShotsCountException,0,4,0,0,0,2,0,1,0,1
bowling,ru.kurtov.bowling.exceptions,BowlingException,4,4,0,0,2,2,1,1,1,1
bowling,ru.kurtov.bowling.exceptions,ExceedPinsCountException,0,4,0,0,0,2,0,1,0,1
bowling,ru.kurtov.bowling.exceptions,IllegalSpareException,0,4,0,0,0,2,0,1,0,1
bowling,ru.kurtov.bowling.exceptions,ExceedFramesCountException,0,4,0,0,0,2,0,1,0,1
bowling,ru.kurtov.bowling.exceptions,GameWithoutPlayersException,0,4,0,0,0,2,0,1,0,1
bowling,ru.kurtov.bowling.exceptions,IllegalStrikeException,0,4,0,0,0,2,0,1,0,1
